family,experiment,scenario,source_datasets,target_dataset,exact_target_overlap_removed,model_name,seed,device,pretrained,num_classes,label_order,n_train,n_val,n_test,parameters,trainable_parameters,best_epoch,best_val_monitor,elapsed_seconds,peak_gpu_memory_mb,test_accuracy,test_balanced_accuracy,test_macro_precision,test_macro_recall,test_macro_f1,test_macro_specificity,test_mcc,test_auc_ovr_macro,test_loss,metrics_path,dataset,fold,n_splits,datasets
baselines,multisource,A+B->C,A|B,C,0.0,densenet121,42,cuda,True,4,cercospora_leaf_spot|healthy|nutrient_deficiency|powdery_mildew,5535,616,1657,6957956,6957956,2,0.9949948690250938,270.7966433950005,2200.501953125,0.5763427881713941,0.404759853665361,0.6139090497272729,0.404759853665361,0.4214406468428893,0.8086152209121893,0.2654828195635371,,1.251372400384683,baselines/densenet121/multisource/A_plus_B_to_C/seed_42/metrics.json,,,,
baselines,multisource,A+C->B,A|C,B,0.0,densenet121,42,cuda,True,6,bacterial_spot|cercospora_leaf_spot|curl_virus|healthy|nutrient_deficiency|powdery_mildew,2973,331,7936,6960006,6960006,11,0.9604878733487383,173.84634404799908,2196.490234375,0.3567288306451613,0.34623206679702556,0.5496406859900632,0.34623206679702556,0.3523425617898661,0.8645311295026147,0.26615018982894706,,2.4222991502573414,baselines/densenet121/multisource/A_plus_C_to_B/seed_42/metrics.json,,,,
baselines,multisource,B+C->A,B|C,A,0.0,densenet121,42,cuda,True,5,bacterial_spot|cercospora_leaf_spot|curl_virus|healthy|nutrient_deficiency,7728,860,1647,6958981,6958981,35,0.9687965495393861,1440.718459587999,2227.130859375,0.6557377049180327,0.678525650505688,0.5831956821761072,0.678525650505688,0.6149308621545236,0.907740385485136,0.602350733442772,,1.4495416891116362,baselines/densenet121/multisource/B_plus_C_to_A/seed_42/metrics.json,,,,
baselines,multisource,A+B->C,A|B,C,0.0,efficientnet_b0,42,cuda,True,4,cercospora_leaf_spot|healthy|nutrient_deficiency|powdery_mildew,5535,616,1657,4012672,4012672,2,0.9950662811429628,276.20296382299966,1481.93798828125,0.5473747736873869,0.37465170613743226,0.5489237527185713,0.37465170613743226,0.3891257290348687,0.7960424623413944,0.20943431632291595,,1.3681991203473165,baselines/efficientnet_b0/multisource/A_plus_B_to_C/seed_42/metrics.json,,,,
baselines,multisource,A+C->B,A|C,B,0.0,efficientnet_b0,42,cuda,True,6,bacterial_spot|cercospora_leaf_spot|curl_virus|healthy|nutrient_deficiency|powdery_mildew,2973,331,7936,4015234,4015234,15,0.9589621444619002,198.07071372499922,1485.56494140625,0.5332661290322581,0.569468897542826,0.6621430761668644,0.569468897542826,0.5111597342946286,0.9057100349688386,0.4659599034666183,,1.7684361834920221,baselines/efficientnet_b0/multisource/A_plus_C_to_B/seed_42/metrics.json,,,,
baselines,multisource,B+C->A,B|C,A,0.0,efficientnet_b0,42,cuda,True,5,bacterial_spot|cercospora_leaf_spot|curl_virus|healthy|nutrient_deficiency,7728,860,1647,4013953,4013953,10,0.9634253066710923,653.5675725459996,1483.01416015625,0.6229508196721312,0.5791081101522959,0.7986273266655989,0.5791081101522959,0.5346350490378864,0.8967357410287315,0.5471092243696399,,1.5143602828566844,baselines/efficientnet_b0/multisource/B_plus_C_to_A/seed_42/metrics.json,,,,
baselines,multisource,A+B->C,A|B,C,0.0,shufflenet_v2_x1_0,42,cuda,True,4,cercospora_leaf_spot|healthy|nutrient_deficiency|powdery_mildew,5535,616,1657,1257704,1257704,18,0.9949948690250938,699.4752182990005,392.39892578125,0.5552202776101388,0.4829028749128255,0.5929087445691121,0.4829028749128255,0.4999188573992198,0.8229552041105659,0.30193152508475873,,1.3590657435930693,baselines/shufflenet_v2_x1_0/multisource/A_plus_B_to_C/seed_42/metrics.json,,,,
baselines,multisource,A+C->B,A|C,B,0.0,shufflenet_v2_x1_0,42,cuda,True,6,bacterial_spot|cercospora_leaf_spot|curl_virus|healthy|nutrient_deficiency|powdery_mildew,2973,331,7936,1259754,1259754,12,0.9424366427671971,173.86397112599934,392.11181640625,0.5365423387096774,0.5314852028133602,0.5215589147433327,0.5314852028133602,0.4568246233286059,0.906705217749248,0.47694179963507544,,1.7557365004453929,baselines/shufflenet_v2_x1_0/multisource/A_plus_C_to_B/seed_42/metrics.json,,,,
baselines,multisource,B+C->A,B|C,A,0.0,shufflenet_v2_x1_0,42,cuda,True,5,bacterial_spot|cercospora_leaf_spot|curl_virus|healthy|nutrient_deficiency,7728,860,1647,1258729,1258729,11,0.9572309031448418,696.0072283849995,392.90771484375,0.6350941105039466,0.633891911160782,0.5849738935201663,0.633891911160782,0.5865714588357124,0.9016726576876394,0.5807095224366298,,1.437658582169276,baselines/shufflenet_v2_x1_0/multisource/B_plus_C_to_A/seed_42/metrics.json,,,,
baselines,multisource,A+B->C,A|B,C,0.0,mobilenet_v3_small,42,cuda,True,4,cercospora_leaf_spot|healthy|nutrient_deficiency|powdery_mildew,5535,616,1657,1521956,1521956,8,0.9949948690250938,437.4136051800001,320.42333984375,0.4387447193723597,0.34581913230814215,0.5317039839549536,0.34581913230814215,0.32301444695776005,0.7891310460747154,0.15809579330308804,,1.476214656463036,baselines/mobilenet_v3_small/multisource/A_plus_B_to_C/seed_42/metrics.json,,,,
baselines,multisource,A+C->B,A|C,B,0.0,mobilenet_v3_small,42,cuda,True,6,bacterial_spot|cercospora_leaf_spot|curl_virus|healthy|nutrient_deficiency|powdery_mildew,2973,331,7936,1524006,1524006,24,0.9610673234811166,259.51105038299966,318.75927734375,0.3776461693548387,0.4156353902145527,0.5149991423039281,0.4156353902145527,0.3491073056204919,0.8757564392876498,0.29524059600566166,,2.020072246751478,baselines/mobilenet_v3_small/multisource/A_plus_C_to_B/seed_42/metrics.json,,,,
baselines,multisource,B+C->A,B|C,A,0.0,mobilenet_v3_small,42,cuda,True,5,bacterial_spot|cercospora_leaf_spot|curl_virus|healthy|nutrient_deficiency,7728,860,1647,1522981,1522981,36,0.9718509889294571,1467.6691024950005,316.72119140625,0.575591985428051,0.5013362413300031,0.5211163620820644,0.5013362413300031,0.44622302266391134,0.8852055633031364,0.48698113872863763,,1.4695353731513023,baselines/mobilenet_v3_small/multisource/B_plus_C_to_A/seed_42/metrics.json,,,,
baselines,multisource,A+B->C,A|B,C,0.0,swin_t,42,cuda,True,4,cercospora_leaf_spot|healthy|nutrient_deficiency|powdery_mildew,5535,616,1657,27522430,27522430,1,0.9895714421300859,244.5243442530009,2829.86669921875,0.5787567893783947,0.5224986877472759,0.6524701450864048,0.5224986877472759,0.5091437594781755,0.8463122605616656,0.3859000604330231,,1.2978564581045737,baselines/swin_t/multisource/A_plus_B_to_C/seed_42/metrics.json,,,,
baselines,multisource,A+C->B,A|C,B,0.0,swin_t,42,cuda,True,6,bacterial_spot|cercospora_leaf_spot|curl_virus|healthy|nutrient_deficiency|powdery_mildew,2973,331,7936,27523968,27523968,35,0.9662249057799756,356.4655461130005,2719.0244140625,0.5834173387096774,0.5661347446086505,0.4734035490344839,0.5661347446086505,0.46706946215640827,0.9163796707527885,0.525216518795404,,1.8094976835193173,baselines/swin_t/multisource/A_plus_C_to_B/seed_42/metrics.json,,,,
